movetext,white_elo,black_elo,white_diff,black_diff,opening,eco
1. e4 g6 2. d4 d6 3. Nf3 c6 4. h3 Nf6 5. Bg5 Nxe4 6. Qe2 Bf5 7. Nbd2 Qa5 8. c3 Nxd2 9. Bxd2 Nd7 10. b4 Qa3 11. Ng5 h5 12. Qc4 d5 13. Qe2 Qb2 14. Qd1 Bc2 15. Qc1 Qxc1+ 16. Rxc1 Ba4 17. Bd3 Nb6 18. O-O Nc4 19. Bxc4 dxc4 20. Bf4 Bh6 21. Rfe1 O-O 22. Rxe7 Rae8 23. Rxb7 f6 24. Ne6 Rxe6 25. Bxh6 Rf7 26. Rb8+ Kh7 27. Bf4 g5 28. Bd2 Re2 29. Be1 Rfe7 30. Kf1 Bc2 31. Rc8 Bd3 32. Rxc6 Rc2+ 33. Kg1 Rxc1 34. Rxf6 h4 35. g4 Rexe1+ 36. Kg2 Be4+ 37. f3 Rc2# 0-1,1644.0,1544.0,-16.0,14.0,Modern Defense,B06
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. Bxf6 Bxf6 6. e5 Be7 7. Qg4 O-O 8. Bd3 f5 9. Qg3 c5 10. Nf3 Qb6 11. Na4 Qb4+ 12. Nc3 Qxb2 13. Kd2 cxd4 14. Nxd4 Bb4 15. Bb5 a6 16. Rhb1 Qxc3+ 17. Qxc3 Bxc3+ 18. Kxc3 axb5 19. Rxb5 Nc6 20. Nxc6 bxc6 21. Rc5 Bd7 22. a4 Ra6 23. a5 Rfa8 24. Kd4 g5 25. Ra4 h5 26. h3 f4 27. f3 Kf7 28. Kd3 Ke7 29. Ke2 Be8 30. Kf2 Kd7 31. g3 fxg3+ 32. Kxg3 Bg6 33. Ra2 Bf5 34. h4 g4 35. fxg4 Bxg4 36. Kf4 Rf8+ 37. Kg5 Rf5+ 38. Kh6 Rxe5 39. Ra4 Kd6 40. Rc3 c5 41. Rg3 c4 42. Kg7 Kc5 43. Kf6 Re2 44. Ke7 Rxc2 45. Rxg4 hxg4 46. h5 Rh2 47. Ra3 0-1,1957.0,1755.0,-158.0,14.0,"French Defense: Classical Variation, Richter Attack",C13
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. a3 Qf6 5. b4 Bb6 6. d3 h6 7. Nc3 Nge7 8. O-O O-O 9. Re1 a6 10. Be3 Nd4 11. Bxd4 exd4 12. e5 Qg6 13. Ne4 d5 14. exd6 cxd6 15. Bb3 Be6 16. Bxe6 fxe6 17. Nxd6 Rab8 18. Nc4 Ba7 19. Nfe5 Qe8 20. Nd6 Qd8 21. Ndc4 Qd5 22. Qg4 Rf5 23. Ng6 Nxg6 24. Qxg6 Re8 25. Qxe8+ 1-0,1656.0,1812.0,16.0,-17.0,Giuoco Piano,C50
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nge7 4. Nc3 h6 5. Nd5 a6 6. Ba4 b5 7. Bb3 Ng6 8. c4 b4 9. Ba4 Nd4 10. O-O c6 11. Ne3 a5 12. Nxd4 exd4 13. Nf5 Ba6 14. Nxd4 Bxc4 15. Nxc6 Bxf1 16. Nxd8 Bxg2 17. Nxf7 Bxe4 18. Qe2 Kxf7 19. Qxe4 Kg8 20. Qxa8 Kh7 21. Qe4 d5 22. Qxd5 Be7 23. d3 Rf8 24. Bb3 Nf4 25. Qe4+ Ng6 26. Be3 Bh4 27. Rf1 Bf6 28. Bd4 Bh4 29. f4 Bd8 30. f5 Ne7 31. f6+ Ng6 32. fxg7 Rxf1+ 33. Kxf1 h5 34. g8=Q+ Kh6 35. Qexg6# 1-0,1436.0,1506.0,15.0,-14.0,Ruy Lopez: Cozio Defense,C60
1. e4 c5 2. f4 d5 3. exd5 Qxd5 4. Nc3 Qd8 5. Bc4 Bf5 6. d3 a6 7. g4 Bd7 8. a4 e6 9. Bd2 Bc6 10. Nf3 Bxf3 11. Qxf3 Qh4+ 12. Qg3 Qxg3+ 13. hxg3 Nc6 14. O-O-O O-O-O 15. f5 Ne5 16. fxe6 Nxc4 17. dxc4 fxe6 18. Rde1 Bd6 19. Bf4 Bxf4+ 20. gxf4 Nh6 21. g5 Nf5 22. Rxe6 Rd4 23. Rf1 Rxc4 24. Re5 g6 25. Kd2 Rd8+ 26. Kc1 Rd7 27. Nd5 Rd6 28. Ne7+ Nxe7 29. Rxe7 Rd7 30. Rxd7 Kxd7 31. b3 Re4 32. Kb2 Ke6 33. Kc3 Kf5 34. Rh1 Re7 35. Rf1 Re4 36. Rh1 Rxf4 37. Rxh7 Kxg5 38. Rxb7 Rf6 39. Rc7 Kf4 40. Rxc5 g5 41. b4 g4 42. Rc4+ Kf3 43. Rc5 Rg6 44. Rf5+ Kg2 45. b5 axb5 46. axb5 g3 47. Kb4 Kh1 48. Rd5 g2 49. Rd1+ g1=Q 50. Rxg1+ Kxg1 51. c4 Kf2 52. c5 Ke3 53. b6 Kd4 54. b7 Rg1 55. Kb5 Rb1+ 56. Kc6 Rb4 57. Kc7 Kxc5 58. b8=Q Rxb8 59. Kxb8 1/2-1/2,1878.0,1940.0,2.0,-2.0,Sicilian Defense: McDonnell Attack,B21
1. b3 e5 2. Bb2 e4 3. d3 Nf6 4. Nh3 d5 5. dxe4 Nxe4 6. Nf4 Qh4 7. g3 Bc5 8. f3 Bf2# 0-1,1742.0,1775.0,-10.0,10.0,Nimzo-Larsen Attack: Modern Variation #2,A01
1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Ne7 5. f4 cxd4 6. cxd4 Nf5 7. Nf3 Nc6 8. Bb5 Bd7 9. O-O Qb6 10. Bxc6 Bxc6 11. Nc3 Be7 12. a3 O-O 13. b4 Rac8 14. Bb2 Bb5 15. Rf2 Bc4 16. Na4 Qc6 17. Nc5 b6 18. Nd3 a5 19. Bc3 a4 20. g4 Bxd3 21. Qxd3 Qxc3 22. Qxc3 Rxc3 23. gxf5 exf5 24. Kg2 Rfc8 25. Raa2 h5 26. h4 Rc8c6 27. Ng5 f6 28. exf6 Bxf6 29. Nf3 g6 30. Ne5 Bxe5 31. fxe5 Kg7 32. Rfe2 Rd3 33. e6 Rxd4 34. e7 Rg4+ 35. Kf2 Re4 36. Rxe4 dxe4 37. e8=Q Rc3 1-0,1824.0,1811.0,11.0,-11.0,French Defense: Advance Variation #2,C02
1. e4 e6 2. d4 b6 3. d5 Bb4+ 4. c3 Bc5 5. b4 Bd6 6. Nf3 exd5 7. e5 Qe7 8. Qxd5 Bxe5 9. Nxe5 c6 10. Qxf7+ Qxf7 11. Nxf7 Kxf7 12. Bc4+ Ke8 13. O-O d5 14. Re1+ Kd8 15. Bg5+ Kc7 16. Bb3 Nd7 17. c4 Ngf6 18. Bf4+ Kb7 19. cxd5 Nxd5 20. Bxd5 cxd5 21. Nc3 Nf6 22. a4 Bd7 23. a5 b5 24. a6+ Kc6 25. Be5 Rae8 26. f4 Re6 27. Rec1 Kb6 28. Bd4+ Kc7 29. Nxb5+ Kb8 30. Nc7 Rc6 31. Rxc6 Bxc6 32. Bxf6 Kxc7 33. Bxg7 Rg8 34. Be5+ Kb6 35. Bd4+ Kb5 36. Ra5+ Kxb4 37. Ra1 Kc4 38. Bxa7 d4 39. Rc1+ Kd5 40. Rd1 Ke4 41. Rxd4+ Ke3 42. Bc5 Rxg2+ 43. Kf1 Rf2+ 44. Ke1 Rxh2 45. Kd1 Bf3+ 46. Kc1 Rh4 47. Ra4+ Kd3 48. Ra3+ Ke2 49. Re3+ Kf2 50. Re5+ Kg3 51. Rg5+ Kh3 52. Bd6 Rg4 53. Rh5+ Kg3 54. f5+ Kf2 55. Rxh7 Rc4+ 56. Kb2 Ke2 57. a7 Kd2 58. Rh2+ Kd1 59. Rf2 Ba8 60. f6 Rc6 61. Be7 Rb6+ 62. Kc3 Ke1 63. Rf5 Ke2 64. f7 1-0,1653.0,1395.0,25.0,-7.0,French Defense: Normal Variation,C00
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe5+ 4. Be2 Bg4 5. d4 Qe6 6. Be3 Nc6 7. Bxg4 Qg6 8. Bf3 Nb4 9. Be4 Qa6 10. Nb5 Qxb5 11. c3 Nd5 12. Bd3 Qxb2 13. Ne2 Nxc3 14. Nxc3 Qxc3+ 15. Ke2 Qb2+ 16. Kf3 O-O-O 17. Qa4 e6 18. Qxa7 Qa3 19. Qxa3 Bxa3 20. Rab1 Nf6 21. Rb3 Bd6 22. Rhb1 b6 23. Bb5 Nd5 24. a4 Kb7 25. a5 c6 26. Bc4 b5 27. Bxd5 exd5 28. Bf4 Be7 29. Re3 Rhe8 30. Rbe1 1-0,1897.0,1673.0,6.0,-5.0,Scandinavian Defense: Mieses-Kotroc Variation,B01
1. e4 e5 2. Bc4 Nf6 3. d3 Bc5 4. Bg5 Bxf2+ 5. Kxf2 Nxe4+ 6. dxe4 Qxg5 7. Nf3 Qf6 8. Qd5 Nc6 9. Rf1 O-O 10. Kg1 Nb4 11. Qxe5 Qxe5 12. Nxe5 Nxc2 13. Bxf7+ Kh8 14. Bc4 Rxf1+ 15. Bxf1 Nxa1 16. Nc3 Nc2 17. Nd5 c6 18. Ne7 d6 19. Nf7# 1-0,1492.0,1451.0,10.0,-11.0,Bishop's Opening: Berlin Defense,C24
1. e4 e5 2. f4 d6 3. Nf3 Nc6 4. d4 exd4 5. Nxd4 Be7 6. Nxc6 bxc6 7. Bc4 Be6 8. Bxe6 fxe6 9. c4 Nh6 10. Nc3 O-O 11. O-O e5 12. f5 Nf7 13. b4 Bg5 14. b5 Bxc1 15. Rxc1 Ng5 16. bxc6 a6 17. Re1 g6 18. fxg6 hxg6 19. Nd5 Ne6 20. Qg4 Qe8 21. Rf1 Nf4 22. Nxf4 Rxf4 23. Rxf4 exf4 24. Qxf4 Qxc6 25. Qf6 Qd7 26. c5 Rf8 27. Qxg6+ Kh8 28. cxd6 cxd6 29. Rd1 Rg8 30. Qf6+ Kh7 31. Rxd6 Qa7+ 32. Kf1 Rg7 33. Qh6+ Kg8 34. Rd8+ Kf7 35. e5 Qc7 36. Qf6# 1-0,1500.0,1585.0,222.0,-9.0,King's Gambit,C30
1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7 4. d4 exd4 5. Nxd4 d6 6. Nc3 Nf6 7. Bg5 Nxd4 8. Qxd4 h6 9. Bh4 O-O 10. O-O-O Bd7 11. Rhe1 Re8 12. Nd5 Nxd5 13. Qxd5 Bxh4 14. Qxf7+ Kh8 15. e5 Rf8 16. Qg6 Bxf2 17. Bd3 Kg8 18. e6 Bxe1 19. Qh7# 1-0,1463.0,1504.0,62.0,-12.0,Scotch Game: Benima Defense,C44
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe6+ 4. Qe2 Nf6 5. Nf3 b6 6. d3 h6 7. Qxe6 Bxe6 8. Be2 Nbd7 9. O-O Bg4 10. Bf4 Rc8 11. Nb5 Nd5 12. Bg3 a6 13. Nbd4 f6 14. Rad1 c5 15. Nb3 Nb4 16. d4 c4 17. Nc1 1-0,1554.0,1429.0,7.0,-7.0,Scandinavian Defense: Mieses-Kotroc Variation,B01
1. d4 d5 2. c4 dxc4 3. e4 g6 4. Bxc4 Bg7 5. Ne2 Nf6 6. Nbc3 O-O 7. O-O e6 8. Be3 Nbd7 9. f3 Nb6 10. Bd3 a5 11. b3 c6 12. Kh1 Nbd7 13. Qd2 b5 14. a4 b4 15. Na2 Ba6 16. Nac1 Bxd3 17. Nxd3 Qc7 18. Bf4 Qb6 19. Rac1 Nh5 20. Bh6 Bxh6 21. Qxh6 Ng7 22. Rc4 e5 23. dxe5 Rfe8 24. f4 Qe3 25. Nec1 Nb6 26. Re1 Nxc4 27. Rxe3 Nxe3 28. Qh3 Nd1 29. Qf3 Nc3 30. f5 gxf5 31. exf5 Rad8 32. h3 c5 33. f6 Ne6 34. Nxc5 Kh8 35. Nc1d3 Rg8 36. Nxe6 fxe6 37. Nf4 Rde8 38. f7 Rgf8 39. fxe8=Q Rxe8 40. Qg4 Na2 41. Nxe6 Rg8 42. Qf5 h6 43. Qf6+ Kh7 44. Nf8+ Rxf8 45. Qxf8 Nc1 46. Qf7+ Kh8 47. e6 1-0,1938.0,1880.0,9.0,-10.0,Queen's Gambit Accepted: Saduleto Variation,D20
1. e4 e5 2. Nf3 Qf6 3. d4 d6 4. d5 Bd7 5. Nc3 a6 6. Be3 Be7 7. Qd3 Nh6 8. Qc4 Bd8 9. O-O-O Ng4 10. Bg5 Qg6 11. Bxd8 Kxd8 12. Qe2 Qh6+ 13. Kb1 Ke7 14. h3 Nf6 15. g4 g5 16. Bg2 Rc8 17. Nd2 c5 18. dxc6 Bxc6 19. Qe3 Nfd7 20. h4 b5 21. hxg5 Qf8 22. g6 hxg6 23. Qg5+ Nf6 24. Nf3 Qd8 25. Nxe5 Nd7 26. Nxg6+ Ke8 27. Rh8+ Nf8 28. Rxf8+ Kd7 29. Rxd8+ Rxd8 30. Qf5+ Kc7 31. Ne7 Bb7 32. Qxf6 1-0,1336.0,1337.0,11.0,-41.0,King's Pawn Game: McConnell Defense,C40
1. d4 e6 2. e3 c5 3. c3 d5 4. Bd3 c4 5. Bc2 b5 6. f4 Nc6 7. Nf3 a5 8. O-O Bb7 9. Nbd2 b4 10. Ne5 Bd6 11. Qf3 f5 12. Qh5+ g6 13. Nxg6 Nf6 14. Qh3 Rg8 15. Ne5 Qe7 16. Ndf3 O-O-O 17. Rb1 Rg7 18. Ng5 Rdg8 19. Rf2 Ne4 20. Bxe4 fxe4 21. Qxe6+ Qxe6 22. Nxe6 Bxe5 23. Nxg7 Bxg7 24. Bd2 Bf6 25. g3 h5 26. Rbf1 h4 27. Kg2 hxg3 28. hxg3 Kc7 29. Rh1 Bc8 30. Rh6 Bg4 31. Rxf6 Bf3+ 32. Rxf3 exf3+ 33. Kxf3 b3 34. axb3 cxb3 35. e4 dxe4+ 36. Kxe4 a4 37. Kf3 Na5 38. Rf5 Nb7 39. g4 Nd6 40. Rc5+ Kb6 41. c4 Rc8 42. Rxc8 Nxc8 43. Bb4 1-0,1793.0,1827.0,14.0,-12.0,Horwitz Defense,A40
1. e4 g6 2. c4 Bg7 3. d4 b6 4. Nf3 c5 5. d5 Nf6 6. Nc3 O-O 7. Bd3 e6 8. d6 Nc6 9. Nb5 Ba6 10. Nc7 Bb7 11. Nxa8 Qxa8 12. O-O Nd4 13. Ne5 Rd8 14. f3 Ne8 15. Qa4 Bxe5 16. f4 Bxd6 17. f5 exf5 18. exf5 Bxg2 19. fxg6 Bxf1 20. gxh7+ Kh8 21. Qc2 Nxc2 0-1,1785.0,1732.0,-12.0,12.0,Modern Defense,B06
1. c4 Nf6 2. Nf3 e6 3. e3 c5 4. Nc3 Nc6 5. Be2 b6 6. O-O Bb7 7. b3 Be7 8. Bb2 O-O 9. Rc1 e5 10. d4 e4 11. Ng5 cxd4 12. exd4 d5 13. cxd5 Nxd5 14. Ngxe4 Nxc3 15. Bxc3 Nxd4 16. Qxd4 Qxd4 17. Bxd4 Bxe4 18. Rc7 Bd6 19. Rd7 Bf4 20. g3 Bf5 21. Rd5 Be6 22. Rb5 Bh6 23. Bf3 Rad8 24. Be5 Rd2 25. a4 g6 26. Kg2 Bg7 27. Bxg7 Kxg7 28. a5 Rb8 29. axb6 Rxb6 30. Rxb6 axb6 31. Rb1 Rd3 32. b4 b5 33. Be2 Bd5+ 34. Kf1 Rc3 35. Bxb5 Be4 36. Re1 Bd5 37. Be2 Bc4 38. Bxc4 Rxc4 39. Rb1 Rc6 40. b5 Rb6 41. Ke2 Kf6 42. Kd3 Ke6 43. Kc4 Kd6 44. Rd1+ Kc7 45. Re1 Kd6 46. Kb4 h5 47. f4 f5 48. Re5 Kc7 49. Kc5 1-0,1981.0,1601.0,2.0,-3.0,"English Opening: Anglo-Indian Defense, King's Knight Variation",A15
1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Ne7 5. f4 Nbc6 6. Nf3 cxd4 7. cxd4 Nf5 8. g4 Nfe7 9. Nc3 Bd7 10. Bd3 Nb4 11. O-O Ng6 12. a3 Nxd3 13. Qxd3 Be7 14. f5 exf5 15. gxf5 Nf8 16. Nxd5 g5 17. f6 g4 18. fxe7 Qa5 19. exf8=Q+ Kxf8 20. Bh6+ Ke8 21. Nf6+ Ke7 22. Nd2 Be6 23. Bg5 Kf8 24. Nfe4 h6 25. Bh4 Qb6 26. Nc5 Bd5 27. b4 Rc8 28. Nd7+ 1-0,1711.0,1800.0,14.0,-15.0,French Defense: Advance Variation #2,C02
1. e4 d6 2. d4 c6 3. c4 b5 4. d5 cxd5 5. cxd5 Bd7 6. Qb3 Qa5+ 7. Bd2 Qb6 8. Na3 a6 9. Nc4 Qd4 10. Nf3 Qxe4+ 11. Ne3 e6 12. Bd3 Qe5 13. Nxe5 dxe5 14. O-O exd5 15. Nxd5 Nc6 16. Bxb5 Nd4 17. Nc7+ Kd8 18. Qd5 Kxc7 19. Qxd7+ Kb6 20. Rfe1 axb5 21. Rxe5 Nc6 22. Re8 Ra7 23. Be3+ Ka6 24. Qxc6+ Ka5 25. Bxa7 Ne7 26. Qb6+ Ka4 27. b3+ Ka3 28. Qxb5 Ng6 29. Bd4 Nf4 30. Qa4# 1-0,1421.0,1491.0,43.0,-71.0,Pirc Defense #5,B07
1. d4 c5 2. c4 cxd4 3. Qxd4 Nc6 4. Qd1 g6 5. a3 Bg7 6. Nf3 d6 7. Bg5 Nf6 8. Nc3 Qb6 9. Qc2 O-O 10. e3 Bf5 11. Bd3 Bxd3 12. Qxd3 Qxb2 13. O-O Qb6 14. Nd5 Nxd5 15. Rab1 Qa6 16. Qxd5 Rac8 17. Nd4 Nxd4 18. exd4 Qxc4 19. Qxc4 Rxc4 20. Bxe7 Re8 21. Bxd6 Bxd4 22. Rbd1 Bb6 23. Bb4 Re2 24. h3 Rcc2 25. Be1 Ra2 26. Rd7 Rxa3 27. Rxb7 Raa2 28. Rb8+ Kg7 29. Bc3+ Kh6 30. Be1 f5 31. Rf8 Kg7 32. Re8 g5 33. Rxe2 Rxe2 34. g3 Kf6 35. Kg2 h5 36. Bc3+ Ke6 37. Re1 Rxe1 38. Bxe1 Ke5 39. f3 Bd4 40. Bd2 a6 41. f4+ 1-0,1849.0,1728.0,7.0,-8.0,Old Benoni Defense,A43
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d3 h6 5. O-O Bc5 6. h3 d6 7. Nc3 Nd4 8. Nd5 Nxd5 9. exd5 c6 10. a3 cxd5 11. Bxd5 Be6 12. Bxb7 Rb8 13. Ba6 O-O 14. c3 Nf5 15. d4 exd4 16. cxd4 Bb6 17. Be3 d5 18. Ne5 Nxe3 19. fxe3 Qg5 20. Qf3 f6 21. Ng4 Bc7 22. b4 Bxg4 23. hxg4 Qh4 24. Qxd5+ Kh8 25. Qh5 Qg3 26. Qh3 Rbe8 27. Qxg3 Bxg3 28. Rf3 Bh4 29. g3 Bg5 30. Re1 Re6 31. Bd3 Rfe8 32. e4 Rc8 33. e5 Bd2 34. Re2 Bc3 35. exf6 Bxd4+ 36. Kh2 Rxe2+ 37. Bxe2 Bxf6 38. a4 Rc2 39. Rf2 Bd4 40. Rf8+ Kh7 41. Re8 Bc3 42. Kh3 Bxb4 43. Bd3+ g6 44. Bxc2 a5 45. Kh4 Kg7 46. g5 h5 47. g4 hxg4 48. Kxg4 Kf7 49. Rc8 Bd2 0-1,1440.0,1502.0,-10.0,9.0,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55
